record_id,employee_id,year,performance_score,projects_completed,training_hours,attendance_rate_percent,bonus_awarded
1,1,2021,2.87,1,88,85.66,No
2,1,2022,3.17,5,76,95.67,Yes
3,1,2023,3.01,2,78,86.23,Yes
4,1,2024,3.19,8,68,86.28,No
5,1,2025,3.24,7,83,89.71,No
6,2,2021,3.59,9,76,91.11,Yes
7,2,2022,3.64,5,67,93.14,Yes
8,2,2023,3.47,7,67,95.18,Yes
9,2,2024,3.41,1,67,87.05,No
10,2,2025,3.76,4,64,97.90,No
11,3,2021,2.37,3,50,89.02,Yes
12,3,2022,2.55,5,63,94.98,No
13,3,2023,2.65,2,70,90.57,Yes
14,3,2024,2.92,4,57,97.39,Yes
15,3,2025,3.03,1,64,95.08,Yes
16,4,2021,3.59,6,65,89.55,Yes
17,4,2022,3.58,6,70,88.14,No
18,4,2023,3.76,7,49,90.50,No
19,4,2024,3.85,10,46,95.28,Yes
20,4,2025,3.35,1,54,92.65,Yes
21,5,2021,4.69,10,25,90.61,No
22,5,2022,4.26,10,46,87.21,Yes
23,5,2023,4.22,2,27,86.29,No
24,5,2024,4.78,9,24,85.88,No
25,5,2025,4.46,9,26,97.92,Yes
26,6,2021,3.14,6,46,87.18,No
27,6,2022,3.14,8,63,88.30,Yes
28,6,2023,2.95,4,46,94.63,Yes
29,6,2024,3.18,3,76,92.02,No
30,6,2025,2.89,5,49,91.93,Yes
31,7,2021,4.51,7,29,97.81,No
32,7,2022,4.50,7,27,88.03,No
33,7,2023,4.73,1,31,85.76,Yes
34,7,2024,4.38,3,15,88.15,No
35,7,2025,4.24,8,41,98.30,Yes
36,8,2021,4.64,1,46,94.50,No
37,8,2022,4.39,6,33,95.75,Yes
38,8,2023,4.14,1,29,89.84,Yes
39,8,2024,4.83,2,46,89.76,Yes
40,8,2025,4.09,2,38,93.33,No
41,9,2021,3.13,9,45,96.38,Yes
42,9,2022,2.75,1,52,86.42,Yes
43,9,2023,3.36,8,61,92.02,No
44,9,2024,2.67,3,34,95.93,Yes
45,9,2025,2.78,5,46,93.61,Yes
46,10,2021,2.22,1,39,95.24,No
47,10,2022,2.36,1,29,99.59,No
48,10,2023,2.56,7,22,93.99,Yes
49,10,2024,2.94,5,34,99.20,No
50,10,2025,2.80,1,23,87.10,No
51,11,2021,4.74,3,56,90.96,No
52,11,2022,4.91,6,27,92.50,No
53,11,2023,4.85,2,36,99.86,Yes
54,11,2024,4.83,5,27,94.50,No
55,11,2025,4.39,3,44,92.91,No
56,12,2021,3.67,7,49,96.09,Yes
57,12,2022,3.82,5,63,88.96,No
58,12,2023,4.16,5,44,91.87,Yes
59,12,2024,3.99,5,48,97.35,No
60,12,2025,3.97,10,43,89.37,No
61,13,2021,3.13,7,54,91.46,No
62,13,2022,3.13,3,46,96.36,Yes
63,13,2023,2.47,10,35,90.74,No
64,13,2024,2.46,7,39,94.90,Yes
65,13,2025,2.86,7,54,85.25,Yes
66,14,2021,3.43,1,71,89.05,Yes
67,14,2022,3.23,10,86,91.67,No
68,14,2023,3.22,8,87,90.75,No
69,14,2024,3.07,5,84,90.95,Yes
70,14,2025,2.81,9,72,98.60,Yes
71,15,2021,3.79,5,37,97.95,Yes
72,15,2022,3.83,4,33,91.55,No
73,15,2023,4.14,3,51,90.48,No
74,15,2024,4.14,1,42,89.83,No
75,15,2025,3.93,10,52,98.53,Yes
76,16,2021,3.22,7,59,95.98,Yes
77,16,2022,2.58,6,69,88.37,No
78,16,2023,2.82,2,58,95.99,Yes
79,16,2024,3.14,2,69,92.74,Yes
80,16,2025,3.02,1,68,98.37,No
81,17,2021,2.90,5,34,85.06,Yes
82,17,2022,3.21,6,21,98.31,No
83,17,2023,3.33,4,34,88.02,Yes
84,17,2024,3.00,7,37,85.86,Yes
85,17,2025,3.29,6,11,91.93,Yes
86,18,2021,4.32,7,13,94.38,Yes
87,18,2022,3.92,4,31,93.01,Yes
88,18,2023,4.22,4,37,95.38,Yes
89,18,2024,4.33,5,16,96.97,No
90,18,2025,4.38,10,35,90.73,No
91,19,2021,4.15,2,71,87.07,No
92,19,2022,4.75,1,59,91.31,No
93,19,2023,4.88,8,49,86.31,Yes
94,19,2024,4.22,9,56,93.69,No
95,19,2025,4.69,2,52,98.23,Yes
96,20,2021,3.28,5,46,97.63,Yes
97,20,2022,2.97,7,38,86.41,No
98,20,2023,3.48,8,46,88.48,Yes
99,20,2024,2.98,8,21,96.66,No
100,20,2025,3.20,8,19,93.37,No
101,21,2021,2.56,10,48,90.63,No
102,21,2022,2.69,2,47,87.59,No
103,21,2023,2.88,9,57,99.92,No
104,21,2024,2.93,8,46,89.81,No
105,21,2025,2.89,9,33,93.75,Yes
106,22,2021,4.31,1,68,96.49,No
107,22,2022,4.02,5,66,85.88,No
108,22,2023,3.72,3,74,96.06,No
109,22,2024,4.24,6,59,88.82,No
110,22,2025,4.34,1,58,86.74,No
111,23,2021,4.18,5,79,91.40,No
112,23,2022,3.87,5,66,91.72,No
113,23,2023,3.96,6,76,85.99,Yes
114,23,2024,4.30,3,82,93.36,No
115,23,2025,3.64,3,65,95.38,Yes
116,24,2021,2.96,2,23,93.30,Yes
117,24,2022,2.94,3,41,94.80,No
118,24,2023,2.64,7,22,93.05,Yes
119,24,2024,2.52,4,25,91.45,No
120,24,2025,2.75,8,51,93.10,No
121,25,2021,3.76,4,66,85.86,No
122,25,2022,3.30,6,72,99.99,No
123,25,2023,3.52,7,57,98.32,No
124,25,2024,3.31,4,64,89.32,No
125,25,2025,3.46,8,58,90.22,No
126,26,2021,4.04,6,28,86.03,No
127,26,2022,4.17,8,14,97.49,No
128,26,2023,3.64,8,23,91.21,No
129,26,2024,3.72,1,22,95.38,No
130,26,2025,3.77,3,42,96.03,Yes
131,27,2021,4.10,10,85,97.37,No
132,27,2022,4.41,9,93,92.38,No
133,27,2023,4.69,9,81,95.61,No
134,27,2024,4.83,5,82,94.23,No
